date,location,infectives,mlrt,low,high
2020-05-09,KZN,240.1,0.97,0.52,1.37
2020-05-10,KZN,234.4,0.92,0.48,1.33
2020-05-11,KZN,229.0,0.9,0.43,1.29
2020-05-12,KZN,225.5,0.89,0.45,1.31
2020-05-13,KZN,225.2,0.92,0.45,1.32
2020-05-14,KZN,228.9,0.97,0.51,1.38
2020-05-15,KZN,236.8,1.05,0.58,1.45
2020-05-16,KZN,249.6,1.15,0.69,1.55
2020-05-17,KZN,267.9,1.26,0.83,1.67
2020-05-18,KZN,292.5,1.39,0.93,1.76
2020-05-19,KZN,324.1,1.51,1.09,1.89
2020-05-20,KZN,362.9,1.61,1.19,1.97
2020-05-21,KZN,408.4,1.7,1.29,2.04
2020-05-22,KZN,458.4,1.74,1.35,2.07
2020-05-23,KZN,509.5,1.74,1.37,2.06
2020-05-24,KZN,555.7,1.67,1.31,1.98
2020-05-25,KZN,593.0,1.57,1.22,1.87
2020-05-26,KZN,618.6,1.44,1.09,1.73
2020-05-27,KZN,630.9,1.29,0.96,1.59
2020-05-28,KZN,630.3,1.15,0.81,1.44
2020-05-29,KZN,620.0,1.02,0.69,1.32
2020-05-30,KZN,604.9,0.93,0.58,1.22
2020-05-31,KZN,592.0,0.89,0.56,1.2
2020-06-01,KZN,584.5,0.9,0.54,1.19
2020-06-02,KZN,583.8,0.94,0.58,1.23
2020-06-03,KZN,590.4,1.0,0.65,1.3
2020-06-04,KZN,604.1,1.07,0.71,1.36
2020-06-05,KZN,623.6,1.14,0.79,1.43
2020-06-06,KZN,648.1,1.2,0.87,1.5
2020-06-07,KZN,675.7,1.24,0.92,1.54
2020-06-08,KZN,706.9,1.27,0.96,1.57
2020-06-09,KZN,741.8,1.3,0.96,1.57
2020-06-10,KZN,781.2,1.33,1.03,1.62
2020-06-11,KZN,827.4,1.37,1.06,1.64
2020-06-12,KZN,883.3,1.41,1.11,1.68
2020-06-13,KZN,951.8,1.47,1.16,1.72
2020-06-14,KZN,1037.0,1.54,1.25,1.79
2020-06-15,KZN,1144.1,1.62,1.36,1.88
2020-06-16,KZN,1279.1,1.72,1.46,1.96
2020-06-17,KZN,1447.6,1.81,1.55,2.03
2020-06-18,KZN,1652.8,1.88,1.63,2.09
2020-06-19,KZN,1895.8,1.93,1.69,2.13
2020-06-20,KZN,2175.8,1.95,1.74,2.15
2020-06-21,KZN,2490.7,1.95,1.74,2.13
2020-06-22,KZN,2835.8,1.92,1.72,2.09
2020-06-23,KZN,3207.4,1.88,1.67,2.03
2020-06-24,KZN,3600.6,1.82,1.64,1.98
2020-06-25,KZN,4011.7,1.77,1.58,1.91
2020-06-26,KZN,4437.7,1.72,1.55,1.86
2020-06-27,KZN,4874.8,1.67,1.5,1.8
2020-06-28,KZN,5317.6,1.62,1.46,1.75
2020-06-29,KZN,5763.2,1.57,1.42,1.7
2020-06-30,KZN,6211.6,1.53,1.38,1.65
2020-07-01,KZN,6670.4,1.5,1.36,1.62
2020-07-02,KZN,7153.6,1.49,1.34,1.6
2020-07-03,KZN,7681.8,1.5,1.35,1.6
2020-07-04,KZN,8275.0,1.52,1.38,1.62
2020-07-05,KZN,8953.1,1.55,1.42,1.65
2020-07-06,KZN,9726.4,1.58,1.46,1.68
2020-07-07,KZN,10593.8,1.6,1.47,1.69
2020-07-08,KZN,11537.3,1.6,1.47,1.68
2020-07-09,KZN,12524.4,1.58,1.46,1.66
2020-07-10,KZN,13505.1,1.53,1.43,1.62
2020-07-11,KZN,14429.0,1.47,1.36,1.55
2020-07-12,KZN,15264.9,1.4,1.3,1.48
2020-07-13,KZN,15996.4,1.33,1.23,1.41
2020-07-14,KZN,16622.1,1.27,1.17,1.35
2020-07-15,KZN,17153.0,1.22,1.13,1.3
2020-07-16,KZN,17604.6,1.18,1.09,1.26
2020-07-17,KZN,18015.8,1.16,1.07,1.24
2020-07-18,KZN,18426.0,1.16,1.06,1.23
2020-07-19,KZN,18831.8,1.15,1.05,1.22
2020-07-20,KZN,19213.8,1.14,1.04,1.21
